,Division Name,Latitude,Longitude,Conservative National Party,Labor Party,Greens Party,Liberal Party,United Australia Party
0,Adelaide,-34.905106,138.596,0.0,0.0,12475.0,26787.0,2292
1,Aston,-37.87545,145.255,0.0,0.0,0.0,45506.0,2933
2,Ballarat,-37.5580855,143.86626024999998,0.0,0.0,0.0,26475.0,3783
3,Banks,-33.9641,151.0710939,0.0,28162.0,4281.0,39338.0,1640
4,Barker,-35.1346,140.226,0.0,0.0,5976.0,51923.0,5279
5,Barton,-33.940650000000005,151.130222,0.0,37740.0,6340.0,25507.0,1649
6,Bass,-41.39065,147.1369097,0.0,0.0,6124.0,24847.0,2860
7,Bean,-35.3784,149.089,0.0,0.0,10707.0,25962.0,1948
8,Bendigo,-36.780371,144.27862,1384.0,0.0,0.0,26989.0,3673
9,Bennelong,-33.8005415,151.1,0.0,27885.0,7414.0,39940.0,1473
10,Berowra,-33.7138778,151.0651663,0.0,16667.0,9167.0,44301.0,1246
11,Blair,-27.6083609,152.751,1590.0,0.0,6711.0,0.0,2623
12,Blaxland,-33.885252449999996,151.02,0.0,40578.0,3462.0,18983.0,1843
13,Bonner,-27.49199315,153.11367990000002,839.0,0.0,8667.0,0.0,1831
14,Boothby,-34.99005,138.5620515,657.0,0.0,10667.0,39437.0,1599
15,Bowman,-27.534799999999997,153.2465,1452.0,0.0,9752.0,0.0,2843
16,Braddon,-41.15507,145.906,598.0,0.0,2800.0,23235.0,2228
17,Bradfield,-33.7403,151.15251,0.0,16982.0,10820.0,47579.0,1456
18,Brand,-32.299,115.766,1105.0,0.0,0.0,21519.0,1941
19,Brisbane,-27.446,153.0280495,524.0,0.0,17228.0,0.0,968
20,Bruce,-37.9718032,145.20594,2579.0,0.0,0.0,20933.0,3093
21,Burt,-32.1101,115.9557566,0.0,0.0,0.0,23355.0,1417
22,Calare,-33.3062,149.462,0.0,20843.0,5421.0,0.0,3000
23,Calwell,-37.6405,144.9212178,1388.0,0.0,0.0,17270.0,2326
24,Canberra,-35.270926,149.125,0.0,0.0,17417.0,20427.0,1119
25,Canning,-32.5284,115.855174,1169.0,0.0,0.0,36484.0,1584
26,Capricornia,-23.1179196,150.488,1602.0,0.0,3664.0,0.0,2738
27,Casey,-37.7965,145.362,0.0,0.0,0.0,35893.0,1938
28,Chifley,-33.7520875,150.84050000000002,0.0,43158.0,3751.0,21052.0,3322
29,Chisholm,-37.8433,145.14249999999998,0.0,0.0,0.0,31098.0,1109
30,Clark,-42.87810785,147.30866650000002,0.0,0.0,5432.0,9417.0,1511
31,Cook,-34.033114999999995,151.11999355,450.0,18402.0,5214.0,51019.0,923
32,Cooper,-37.7448,145.003427,0.0,0.0,0.0,14456.0,1374
33,Corangamite,-38.257841049999996,144.32281465,0.0,0.0,0.0,33970.0,1704
34,Corio,-38.140008,144.345,0.0,0.0,0.0,27276.0,4209
35,Cowan,-31.82835645,115.84047939999999,0.0,0.0,0.0,26643.0,1578
36,Cowper,-30.76074335,152.91449999999998,0.0,12754.0,5279.0,0.0,2736
37,Cunningham,-34.4147,150.8977103,0.0,41468.0,13255.0,27140.0,3285
38,Curtin,-31.9475305,115.793,0.0,0.0,0.0,37868.0,786
39,Dawson,-20.40215735,148.64824095,1495.0,0.0,3283.0,0.0,3736
40,Deakin,-37.812036,145.244692,0.0,0.0,0.0,35181.0,1404
41,Dickson,-27.33556,152.973,838.0,0.0,7724.0,0.0,1686
42,Dobell,-33.3255,151.449,0.0,35027.0,5983.0,33753.0,4339
43,Dunkley,-38.1459,145.148,1040.0,0.0,0.0,30405.0,1895
44,Durack,-28.7730164,116.40554835,0.0,0.0,0.0,26821.0,1607
45,Eden-Monaro,-35.9539528,149.2338288,0.0,33907.0,7176.0,31334.0,2301
46,Fadden,-27.913507250000002,153.36384520000001,1188.0,0.0,6858.0,0.0,3965
47,Fairfax,-26.64030555,153.05868735,1240.0,0.0,10157.0,0.0,2428
