tweetText,tweetCreated,userLocation,Coordinates,TweetPlace
It's what #ScottyFromCoverUps does...there's no issue significant enough for him not to ignore and hope it to fades… https://t.co/4MShwg2SD3,2021-05-02 13:37:03,NSW Far North Coast,[153.36936147 -27.95422176],"Gold Coast, Queensland"
"#ScottyFromMarketing #ScottyFromCoverups #scottymustgo #MurdochGutterMedia #MurdochRoyalCommission
Alan Kohler: Sco… https://t.co/K2ihPLF4H2",2021-04-26 02:24:11,"Adelaide, South Australia",[138.61115987 -35.00076706],"Adelaide, South Australia"
"@drlouisehansen Hi Girls, thank you for offering asylum to Australians. I wish our Government was as generous.… https://t.co/2BTvOFucb7",2021-05-03 00:59:40,,[145.05313534 -37.97256651],"Melbourne, Victoria"
@L1I9N6K4 @BradSco47716760 @tegangeorge @AlboMP @10NewsFirst Agreed. And nothing changes. #March4Justice #EnoughIsEnough,2021-04-30 04:39:10,"Mount Gambier, South Australia",[135.0021463  -32.02937474],"South Australia, Australia"
@ElaineM11584892 Not by me ever #March4Justice,2021-04-29 12:19:07,Australia,[151.44249824 -33.34664699],"Central Coast, New South Wales"
#ScottyTheSaviour thinks god wants him to win the Nobel Prize for being #ScottyDoesNothing . It would be a miracle… https://t.co/AO1eionsrH,2021-05-02 11:16:25,Tumbi Umbi Australia,[151.44249824 -33.34664699],"Central Coast, New South Wales"
"@MichaelPascoe01 But it isn't.

#Shame on #ScottyDoesNothing",2021-05-02 09:17:21,Australia,[127.6726105 -18.2252585],"Halls Creek, Western Australia"
#ScottyDoesNothing has a very poor memory https://t.co/zml0hLHIg6,2021-05-02 08:02:56,Australia,[145.46918049 -36.56980755],"Victoria, Australia"
Oooh look over there - #ScottyDoesNothing announces a big child care tax cut in the upcoming budget. Distraction is… https://t.co/EELyYxECRw,2021-05-01 22:06:25,Australia,[145.46918049 -36.56980755],"Victoria, Australia"
Too right @AlboMP yet #ScottyDoesNothing &amp; #fraudenberg openly laugh &amp; ridicule states when they put forward Howard… https://t.co/l6PFmEVwL3,2021-05-01 22:03:58,Australia,[145.46918049 -36.56980755],"Victoria, Australia"
Its all about politics to #ScottyDoesNothing . It also says something about the Values of those Australians who vot… https://t.co/oPPqXDyk8F,2021-05-01 20:47:14,Tumbi Umbi Australia,[151.44249824 -33.34664699],"Central Coast, New South Wales"
"@timsout @MarjorieGarante This is worse than I even thought the #LNPToxicCulture could go.

We must be able to crea… https://t.co/6NbGLNr4Fq",2021-05-01 09:11:17,Australia,[123.66596288 -17.33032454],"Derby, Western Australia"
#ScottyTheChosenOne #ScottyFromPhotoOps #ScottyDoesNothing #ScottyFromGilead #nswpol #auspol #LNPCrimeFamily… https://t.co/W1zyjgGXTl,2021-05-01 07:04:59,"Hell,Hades,Mictlan,Tartarus",[150.9319748 -33.848244 ],"Sydney, New South Wales"
"The lessons of the Vietnam War demos are clear. March. Every month. In every capital. 
#EnoughIsEnough 
#ItsTime… https://t.co/ZxXiZV4bPT",2021-05-02 00:24:36,Melbourne,[145.05313534 -37.97256651],"Melbourne, Victoria"
When are we going to get over serving triple fried beer battered chips and just serve some simple fkn crinkle cuts? #pubgrub #enoughisenough,2021-05-01 08:04:24,Melbourne,[143.97802338 -38.53590405],"Lorne, Victoria"
"#DomesticViolence #EnoughIsEnough #EndViolenceAgainstWomen 
Kelly Wilkinson’s alleged killer told of murder charges… https://t.co/ydEH2vr86w",2021-05-01 03:11:36,"Adelaide, South Australia",[138.61115987 -35.00076706],"Adelaide, South Australia"
