tweetText,tweetCreated,userLocation,Coordinates,TweetPlace
"This is not a poll. It’s #Newspoll.

It’s what #Murdoch wants you to believe.

#auspol #MurdochRoyalCommission https://t.co/Bug26We3Om",2021-04-26 10:15:44,"Mudjimba, Qld, Australia",[153.07415686 -26.6064825 ],"Sunshine Coast, Queensland"
"It’s utter bullshit PVO, we’re talking about a poll done by his media team, your ‘media’ @newscorpaus is who put ou… https://t.co/Wh1sT1f9Or",2021-04-26 09:41:54,"Melbourne, Australia",[145.05313534 -37.97256651],"Melbourne, Victoria"
"#Newspoll is a load of bollocks, it’s laughable to think that this poll thinks it’s relevant, @newscorpaus run it t… https://t.co/BioE2HvFSg",2021-04-26 06:09:58,"Melbourne, Australia",[145.05313534 -37.97256651],"Melbourne, Victoria"
1. #ScoMo is extremely unpopular..only on Twitter it seems. 2. ALP holds edge in 2-Party preferred &amp; would prob do… https://t.co/0ablt5FI80,2021-04-26 01:46:06,"Brisbane, Australia",[145.77406433 -19.16003684],"Queensland, Australia"
"I called it over a week ago where #newspoll would be tonight. 

Marketing boy just did 10 days of a mini election a… https://t.co/2ot6a2LZKR",2021-04-25 12:11:13,"Adelaide, South Australia",[138.61115987 -35.00076706],"Adelaide, South Australia"
There are lots of other reasons  like shock jocks and MSM but everyone must have noticed  Fukmo's  popularity has t… https://t.co/bWOSqsnXFp,2021-04-23 20:27:40,brisbane,[152.99319654 -27.38214299],"Brisbane, Queensland"
"@RealSlgr No! Our port has NOT been sold to China, it's been LEASED by Liberal-Country Party at the time &amp; when Sco… https://t.co/PUSaWpdZcy",2021-04-28 11:17:51,somewhere in Arnhemland,[130.93330842 -12.42590065],"Darwin, Northern Territory"
@toninicho No. We need proper quarantine.  Current plans just prop up Hotel Chains. We need proper quarantine for… https://t.co/lY1wssH97U,2021-04-26 06:01:16,"Adelaide, South Australia",[138.61115987 -35.00076706],"Adelaide, South Australia"
1. #ScoMo is extremely unpopular..only on Twitter it seems. 2. ALP holds edge in 2-Party preferred &amp; would prob do… https://t.co/0ablt5FI80,2021-04-26 01:46:06,"Brisbane, Australia",[145.77406433 -19.16003684],"Queensland, Australia"
"@PeterWMurphy1 It's #cringeworthy - &amp; incredibly ironic, given the #ANZAC campaign in #WWI was when we first fought… https://t.co/GdahJH97e8",2021-04-25 12:22:18,somewhere in Arnhemland,[130.93330842 -12.42590065],"Darwin, Northern Territory"
@criprights I am a #veteran . #handonheart is NOT Australian. #Scomo and mob are American junkies and lack #australianvalues,2021-04-25 02:09:23,"Perth, Western Australia",[115.92831869 -32.15010042],"Perth, Western Australia"
"@ANI Appreciate it #Scomo 

Let’s not whinge over the spilled beans . 
Do your bit as an individual as a citizen as… https://t.co/RhLIiFYMiR",2021-04-24 21:02:08,,[145.05313534 -37.97256651],"Melbourne, Victoria"
@PaulScho203 They learned that from #ScoMo,2021-04-23 03:36:26,"Melbourne, Australia",[145.05313534 -37.97256651],"Melbourne, Victoria"
Someone must tell #Scomo that the global political landscape of #climatechange has changed in the past few weeks wi… https://t.co/X09BUaA7fK,2021-04-23 00:17:50,"Castle Hill, Sydney",[150.9319748 -33.848244 ],"Sydney, New South Wales"
"Dear world, 
The comedy show finished a week ago .@micomfestival so the #ScoMo attempt at humour at #EarthDay2021… https://t.co/8cuq0A6jpw",2021-04-22 21:31:14,"Melbourne, Australia",[145.05313534 -37.97256651],"Melbourne, Victoria"
#scomo still looking for a clue https://t.co/1SJ7qQ51Kn,2021-04-22 11:31:06,"Perth, Western Australia",[115.92831869 -32.15010042],"Perth, Western Australia"
"Hey #Scomo 
This consent video is better than your #milkshakevideo. 
#auspol https://t.co/ysyh2McdWh",2021-04-22 09:59:40,"Queensland, Australia",[152.99319654 -27.38214299],"Brisbane, Queensland"
@newscomauHQ They say believe in the science of #ClimateChange why not the science of #gender #UK #London #England,2021-04-30 06:31:42,Perth WA ,[150.05434676 -32.83103996],"New South Wales, Australia"
"Shout out to all the asthmatics dealing with another day of backburning in Sydney. As a mild asthmatic, the fact I… https://t.co/HU7LFWX4Mk",2021-04-29 22:15:25,"Sydney, Australia",[150.9319748 -33.848244 ],"Sydney, New South Wales"
"This butterfly has a 94% chance of extinction within 20 years. 

In fact, it could already be #extinct. This is the… https://t.co/WpN446lZ6t",2021-04-28 10:40:00,Australia,[138.61115987 -35.00076706],"Adelaide, South Australia"
BLUE Abstract Roses | Fabric Art | Recycled Fabric | Sustainable Art by Leah Justyce #zerowaste #ecofriendly… https://t.co/epqmZ9TWSf,2021-04-28 00:58:35,,[143.85274083 -37.56745214],"Ballarat, Victoria"
"Australia and Germany are working together on #hydrogen supply chains.

Thank you @GermanyInOz for a great discussi… https://t.co/oi29Zp4Pvu",2021-04-27 08:18:38,Australia,[149.11236227 -35.30787699],Embassy of the Federal Republic of Germany
