tweetText,tweetCreated,userLocation,Coordinates,TweetPlace
"#Morrison #AUS Shame,Shame,Shame.Australians stranded overseas in thousands. Our government don't give a dam about… https://t.co/NUJsQZ9SYp",2021-05-02 03:28:51,,[115.92831869 -32.15010042],"Perth, Western Australia"
Sometimes I feel sorry for #PM #Morrison. He got in the #saddle thinking he'd have a #freeRide in #Govt; allocating… https://t.co/jyvhPTvpg8,2021-05-02 00:07:41,somewhere in Arnhemland,[130.93330842 -12.42590065],"Darwin, Northern Territory"
"#Morrison's #ACC speech decries ‘identity politics’ but ""enjoins his fellow #Pentecostalists to form (church) commu… https://t.co/2f3hvYdnY8",2021-05-01 23:32:38,"West End, Brisbane #4101",[152.99319654 -27.38214299],"Brisbane, Queensland"
Jennifer Hewett doesn't get #QUARANTINE is the responsibility of Federal govt. #Morrison duckshoved it onto the sta… https://t.co/lUlVpTWj4O,2021-05-01 23:26:38,Gold Coast,[153.36936147 -27.95422176],"Gold Coast, Queensland"
"If #Morrison truly thinks he's doing God's work then God needs a new recruiter.

#auspol",2021-04-30 02:14:41,,[145.05313534 -37.97256651],"Melbourne, Victoria"
@AmyRemeikis He can't afford an exorbitant airfare even if he cld get a flight home. His health would not allow him… https://t.co/2SIn8XB8YO,2021-04-27 04:13:53,Gold Coast,[153.36936147 -27.95422176],"Gold Coast, Queensland"
@7NewsSydney @ChrisReason7 And what about the #HOMELESS PEOPLE IN #QLD could you fund #housingmarket #housing too?… https://t.co/imz9uq1otr,2021-04-26 08:27:39,Melbourne,[145.05313534 -37.97256651],"Melbourne, Victoria"
"I think McGowan is folding to public pressure on lockdowns and the intrusion , Libs are behind the massive scale so… https://t.co/Qi38qQYsBY",2021-05-02 09:46:04,"Perth, Western Australia",[115.92831869 -32.15010042],"Perth, Western Australia"
"Early figures show #Greens got a small %age increase &amp; swing against #Labor which apparently split between Greens,… https://t.co/QBxbXCvZOv",2021-05-01 23:15:04,Sydney,[150.9319748 -33.848244 ],"Sydney, New South Wales"
@JayStill4 I think they have a majority.#Labor,2021-04-30 12:35:49,East of West,[150.9319748 -33.848244 ],"Sydney, New South Wales"
"@DarylTractor @JaeRagnarok @DanielAndrewsMP &amp; the #labor state premiers did nothing?
#bullshit",2021-04-30 08:07:26,Adelaide Australia,[138.61115987 -35.00076706],"Adelaide, South Australia"
@OurNewHomecoach Local govt  is a rule unto itself. We all know that.There are always outliers. Greens ran a very d… https://t.co/7Yxvu1e9ri,2021-04-29 11:36:17,Gold Coast,[153.36936147 -27.95422176],"Gold Coast, Queensland"
I've been following your recent tweets and RTs @victorklineTNL. Regarding #Labor preferences I think you are stirri… https://t.co/57oG0W4W29,2021-04-29 10:59:40,Gold Coast,[153.36936147 -27.95422176],"Gold Coast, Queensland"
Another #fail from from this useless #RWNJ #Liberal #Nationals government:  If you search for #COVID19 #vaccine sit… https://t.co/y0KbXWayTH,2021-04-29 04:17:57,"Central Tablelands, NSW",[149.12978253 -35.31397979],"Canberra, Australian Capital Territory"
"The lessons of the Vietnam War demos are clear. March. Every month. In every capital. 
#EnoughIsEnough 
#ItsTime… https://t.co/ZxXiZV4bPT",2021-05-02 00:24:36,Melbourne,[145.05313534 -37.97256651],"Melbourne, Victoria"
"And how did #Deakins @MichaelSukkarMP vote? Opposed the banking RC. 
#auspol 
#LNPfail 
#AlboForPM https://t.co/lyrYqvQwvT",2021-04-30 19:12:45,Melbourne,[145.05313534 -37.97256651],"Melbourne, Victoria"
Sky News fukwit Andrew Bolt has declared he is “ashamed of Australia” over the threat of jail terms for Indian-Aust… https://t.co/A5FRWtRwnH,2021-05-03 05:23:29,brisbane,[152.99319654 -27.38214299],"Brisbane, Queensland"
