Division Name,Latitude,Longitude,Conservative National Party,Labor Party,Greens Party,Liberal Party,United Australia Party,temp,tweetText,tweetCreated,userLocation,Coordinates,TweetPlace,cleaned_text,clean_lemmatized,clean_lemmatized Positive Sentiment Score,clean_lemmatized Negative Sentiment Score,clean_lemmatized Neutral Sentiment Score,clean_lemmatized Compound Sentiment Score,longitude_x,latitude_x,distance
Sydney,-33.8847514,151.204,0.0,37924.0,13259.0,19551.0,1046,1,"That time when Trump, mid—interview, scrounged to find and give @jonathanvswan a bunch of charts that looked put to… https://t.co/OJmSkhorxO",2021-04-30 10:35:00,"Meanjin (Brisbane, Australia).",[151.19193525 -33.89352578],Carriageworks,"time trump, mid—interview, scrounged find give  bunch charts looked put to…","time trump, mid—interview, scrounged find give bunch chart looked put to…",0.0,0.0,1.0,0.0,151.19193525,-33.89352578,1.479647876895007
Sydney,-33.8847514,151.204,0.0,37924.0,13259.0,19551.0,1046,1,If everything is God’s will what’s the point of seeking temporal power?  Surely it means that PM Morrison has no co… https://t.co/BUsGQzWeer,2021-04-29 08:39:01,Sydney,[151.22082906 -33.87934449],"Darlinghurst, Sydney",everything god’s what’s point seeking temporal power? surely means pm morrison co…,everything god’s what’s point seeking temporal power? surely mean pm morrison co…,0.209,0.0,0.791,0.4404,151.22082906,-33.87934449,1.6647675880487933
Brisbane,-27.446,153.0280495,524.0,0.0,17228.0,0.0,968,1,"after 8 years,  plus two years  delay due to #covid19 finally at the Ceremony of new Fellows of @RACP 👍 https://t.co/Penon1wYJQ",2021-04-30 05:04:20,"New South Wales, Australia",[153.01845789 -27.47627438],Brisbane Convention & Exhibition Centre,"8 years, plus two years delay due  finally ceremony new fellows  👍","8 years, plus two year delay due finally ceremony new fellow 👍",0.0,0.161,0.839,-0.3182,153.01845789,-27.47627438,3.494655827638049
Canberra,-35.270926,149.125,0.0,0.0,17417.0,20427.0,1119,1,"Australia and Germany are working together on #hydrogen supply chains.

Thank you @GermanyInOz for a great discussi… https://t.co/oi29Zp4Pvu",2021-04-27 08:18:38,Australia,[149.11236227 -35.30787699],Embassy of the Federal Republic of Germany,australia germany working together  supply chains. thank  great discussi…,australia germany working together supply chains. thank great discussi…,0.485,0.0,0.515,0.765,149.11236227,-35.30787699,4.26318680154383
Canberra,-35.270926,149.125,0.0,0.0,17417.0,20427.0,1119,1,"#LATEST Australia surpasses 2 million #COVID19 vaccine doses, but the public will not be told how many people have… https://t.co/jVZapp6GDl",2021-04-28 11:38:34,Canberra,[149.12978253 -35.31397979],"Canberra, Australian Capital Territory"," australia surpasses 2 million  vaccine doses, public told many people have…","australia surpasses 2 million vaccine doses, public told many people have…",0.0,0.0,1.0,0.0,149.12978253,-35.31397979,4.80398205016128
Canberra,-35.270926,149.125,0.0,0.0,17417.0,20427.0,1119,1,Pleased to meet with Thai Airways and Consulate General Sydney team on 26/04/21. One year ago-our 1st TG 476 repatr… https://t.co/hJAaJdnC2x,2021-04-28 13:52:11,"Bangkok, Thailand",[149.12978253 -35.31397979],"Canberra, Australian Capital Territory",pleased meet thai airways consulate general sydney team 26/04/21. one year ago-our 1st tg 476 repatr…,pleased meet thai airway consulate general sydney team 26/04/21. one year ago-our 1st tg 476 repatr…,0.162,0.0,0.838,0.4404,149.12978253,-35.31397979,4.80398205016128
Canberra,-35.270926,149.125,0.0,0.0,17417.0,20427.0,1119,1,What a difference with @PMOIndia’s decision to allow the #Amarnath pilgrimage to go ahead!If this Hindu event is al… https://t.co/la0oGdX7vC,2021-04-28 23:06:55,Canberra,[149.12978253 -35.31397979],"Canberra, Australian Capital Territory",difference  decision allow  pilgrimage go ahead!if hindu event al…,difference decision allow pilgrimage go ahead!if hindu event al…,0.215,0.0,0.785,0.2942,149.12978253,-35.31397979,4.80398205016128
Canberra,-35.270926,149.125,0.0,0.0,17417.0,20427.0,1119,1,Why am I not surprised to read that experts seriously believe that the real number of #COVID19-related death in… https://t.co/K0n8FhIZ3K,2021-04-29 00:09:48,Canberra,[149.12978253 -35.31397979],"Canberra, Australian Capital Territory",surprised read experts seriously believe real number  death in…,surprised read expert seriously believe real number death in…,0.232,0.406,0.362,-0.5267,149.12978253,-35.31397979,4.80398205016128
Canberra,-35.270926,149.125,0.0,0.0,17417.0,20427.0,1119,1,This is an excellent piece about what drives @PMOIndia. Meanwhile #India’s health system is  fast collapsing under… https://t.co/CfJy1ByZOg,2021-04-29 00:34:14,Canberra,[149.12978253 -35.31397979],"Canberra, Australian Capital Territory",excellent piece drives  meanwhile  health system fast collapsing under…,excellent piece drive meanwhile health system fast collapsing under…,0.287,0.171,0.543,0.3612,149.12978253,-35.31397979,4.80398205016128
Canberra,-35.270926,149.125,0.0,0.0,17417.0,20427.0,1119,1,Another #fail from from this useless #RWNJ #Liberal #Nationals government:  If you search for #COVID19 #vaccine sit… https://t.co/y0KbXWayTH,2021-04-29 04:17:57,"Central Tablelands, NSW",[149.12978253 -35.31397979],"Canberra, Australian Capital Territory",another  useless    government: search   sit…,another useless government: search sit…,0.0,0.412,0.588,-0.4215,149.12978253,-35.31397979,4.80398205016128
Canberra,-35.270926,149.125,0.0,0.0,17417.0,20427.0,1119,1,"Notwithstanding the complete unreliability of official #COVID19-related deaths in #India, it would be interesting t… https://t.co/dDELyBNY44",2021-04-29 21:21:24,Canberra,[149.12978253 -35.31397979],"Canberra, Australian Capital Territory",notwithstanding complete unreliability official  deaths  would interesting t…,notwithstanding complete unreliability official death would interesting t…,0.214,0.31,0.476,-0.296,149.12978253,-35.31397979,4.80398205016128
Canberra,-35.270926,149.125,0.0,0.0,17417.0,20427.0,1119,1,Wouldn't be me standing within spitting distance of either Laming or #ScottyFromMarketing https://t.co/0ux1KBOt62,2021-04-30 12:21:37,"Queanbeyan, New South Wales",[149.12978253 -35.31397979],"Canberra, Australian Capital Territory",standing within spitting distance either laming ,standing within spitting distance either laming,0.0,0.0,1.0,0.0,149.12978253,-35.31397979,4.80398205016128
Canberra,-35.270926,149.125,0.0,0.0,17417.0,20427.0,1119,1,"Yet again an excellent, must read article by Arundhati Roy which systematically shreds the little credibility… https://t.co/NIEFw2l0xL",2021-04-30 07:43:33,Canberra,[149.12978253 -35.31397979],"Canberra, Australian Capital Territory","yet excellent, must read article arundhati roy systematically shreds little credibility…","yet excellent, must read article arundhati roy systematically shred little credibility…",0.27,0.0,0.73,0.5719,149.12978253,-35.31397979,4.80398205016128
Brisbane,-27.446,153.0280495,524.0,0.0,17228.0,0.0,968,1,There are lots of other reasons  like shock jocks and MSM but everyone must have noticed  Fukmo's  popularity has t… https://t.co/bWOSqsnXFp,2021-04-23 20:27:40,brisbane,[152.99319654 -27.38214299],"Brisbane, Queensland",lots reasons like shock jocks msm everyone must noticed fukmos popularity t…,lot reason like shock jock msm everyone must noticed fukmos popularity t…,0.326,0.151,0.523,0.4588,152.99319654,-27.38214299,7.8851412879983656
Brisbane,-27.446,153.0280495,524.0,0.0,17228.0,0.0,968,1,"@6PR @MarkMcGowanMP must be the cure for #covid19. Everytime he makes a shit decision, the dam virus disappears and… https://t.co/TFBKdNcQvj",2021-04-28 12:57:33,"Brisbane, Queensland",[152.99319654 -27.38214299],"Brisbane, Queensland","  must cure  everytime makes shit decision, dam virus disappears and…","must cure everytime make shit decision, dam virus disappears and…",0.0,0.429,0.571,-0.7184,152.99319654,-27.38214299,7.8851412879983656
Brisbane,-27.446,153.0280495,524.0,0.0,17228.0,0.0,968,1,"So when @AnnastaciaMP made a decision for #Queensland based on medical advice, it was wrong, but when you make one… https://t.co/70rT8Ev52h",2021-04-29 10:53:53,QLD Australia,[152.99319654 -27.38214299],"Brisbane, Queensland"," made decision  based medical advice, wrong, make one…","made decision based medical advice, wrong, make one…",0.0,0.307,0.693,-0.4767,152.99319654,-27.38214299,7.8851412879983656
Brisbane,-27.446,153.0280495,524.0,0.0,17228.0,0.0,968,1,"Since COVID-19 arrived in 2020, there have been six major election events in Australia: three state elections, two… https://t.co/aTrmRALGZ8",2021-05-01 13:03:41,Jagera & Turrbal land/Brisbane,[152.99319654 -27.38214299],"Brisbane, Queensland","since covid-19 arrived 2020, six major election events australia: three state elections, two…","since covid-19 arrived 2020, six major election event australia: three state elections, two…",0.0,0.0,1.0,0.0,152.99319654,-27.38214299,7.8851412879983656
Brisbane,-27.446,153.0280495,524.0,0.0,17228.0,0.0,968,1,"Great analogy

#March4Justice #EnoughIsEnough https://t.co/z23Bapci9o",2021-04-24 10:30:22,"Brisbane, Queensland",[152.99319654 -27.38214299],"Brisbane, Queensland",great analogy  ,great analogy,0.804,0.0,0.196,0.6249,152.99319654,-27.38214299,7.8851412879983656
Brisbane,-27.446,153.0280495,524.0,0.0,17228.0,0.0,968,1,@20thCenturyDan Organising our next #March4Justice rally in Brisbane on Friday.,2021-04-24 11:31:57,"Brisbane, Queensland",[152.99319654 -27.38214299],"Brisbane, Queensland", organising next  rally brisbane friday.,organising next rally brisbane friday.,0.0,0.0,1.0,0.0,152.99319654,-27.38214299,7.8851412879983656
