fraser_annings_conservative_national_party_ordinary_votes, socialist_alliance_ordinary_votes, labor_ordinary_votes, latitude, longitude,post_code, polling_place_name, state, division_name, australian_democrats_ordinary_votes, non_affiliated_candidates_ordinary_votes, the_greens_ordinary_votes, national_party_ordinary_votes, australian_progressives_ordinary_votes, christian_democratic_party_fred_nile_group_ordinary_votes, centre_alliance_ordinary_votes, australian_workers_party_ordinary_votes, western_australia_party_ordinary_votes, division_id, liberal_democrats_ordinary_votes, liberal_ordinary_votes, the_nationals_ordinary_votes, australia_first_party_ordinary_votes, polling_place_id, united_australia_party_ordinary_votes, informal_ordinary_votes, katters_australian_party_kap_ordinary_votes, polling_place_type_id, socialist_equality_party_ordinary_votes
null,null,402,-33.8211705,151.1355456,2110,Hunters Hill North (North Sydney),NSW,North Sydney,null,null,175,null,null,24,null,null,null,137,null,733,null,null,76,24,84,null,1,null
null,null,262,-33.8092487,151.1748087,2066,Chatswood South,NSW,North Sydney,null,null,147,null,null,31,null,null,null,137,null,363,null,null,77,9,62,null,1,null
null,null,408,-33.8098512,151.1523201,2066,Lane Cove West Central,NSW,North Sydney,null,null,217,null,null,27,null,null,null,137,null,765,null,null,78,20,43,null,1,null
null,null,407,-33.8291705,151.1883862,2065,Greenwich North,NSW,North Sydney,null,null,218,null,null,22,null,null,null,137,null,724,null,null,89,19,54,null,1,null
null,null,360,-33.8352012,151.1513327,2110,Hunters Hill,NSW,North Sydney,null,null,183,null,null,35,null,null,null,137,null,1454,null,null,90,26,75,null,1,null
null,null,283,-33.8315418,151.1427724,2110,Hunters Hill West,NSW,North Sydney,null,null,99,null,null,24,null,null,null,137,null,768,null,null,91,11,38,null,1,null
null,null,646,-33.8164317,151.1694767,2066,Lane Cove,NSW,North Sydney,null,null,383,null,null,31,null,null,null,137,null,1126,null,null,94,30,83,null,1,null
null,null,203,-33.819208,151.1701635,2066,Lane Cove South,NSW,North Sydney,null,null,75,null,null,8,null,null,null,137,null,560,null,null,95,8,19,null,1,null
null,null,554,-33.812923,151.158335,2066,Lane Cove West,NSW,North Sydney,null,null,243,null,null,38,null,null,null,137,null,1046,null,null,96,32,122,null,1,null
null,null,333,-33.8277534,151.1700811,2066,Longueville,NSW,North Sydney,null,null,172,null,null,17,null,null,null,137,null,1019,null,null,97,23,34,null,1,null
null,null,425,-33.8127091,151.1713361,2066,Lane Cove East,NSW,North Sydney,null,null,247,null,null,24,null,null,null,137,null,789,null,null,101,18,80,null,1,null
null,null,284,-32.9377159,151.6830912,2285,Cardiff Heights (Newcastle),NSW,Newcastle,null,null,109,null,null,30,null,null,null,136,null,312,null,null,335,30,30,null,1,null
null,null,340,-32.8794128,151.616256,2287,Minmi,NSW,Newcastle,null,null,69,null,null,14,null,null,null,136,null,229,null,null,361,46,83,null,1,null
null,null,789,-33.898036,151.197505,2015,Alexandria,NSW,Sydney,null,null,321,null,null,4,null,null,null,149,null,305,null,null,1433,11,40,null,1,null
null,null,905,-33.8928,151.19,2008,Darlington,NSW,Sydney,null,null,447,null,null,33,null,null,null,149,null,223,null,null,1441,17,52,null,1,null
null,null,1313,-33.9004589,151.1862392,2043,Erskineville,NSW,Sydney,null,null,512,null,null,8,null,null,null,149,null,397,null,null,1444,16,55,null,1,null
null,null,419,-33.9213,151.198,2018,Rosebery West (Sydney),NSW,Sydney,null,null,157,null,null,17,null,null,null,149,null,320,null,null,1446,22,62,null,1,null
null,null,713,-33.894749,151.201324,2016,Redfern West,NSW,Sydney,null,null,230,null,null,16,null,null,null,149,null,191,null,null,1464,21,78,null,1,null
null,null,869,-33.8923,151.204,2016,Redfern,NSW,Sydney,null,null,370,null,null,15,null,null,null,149,null,272,null,null,1465,22,62,null,1,null
null,null,742,-33.9164,151.208,2018,Rosebery,NSW,Sydney,null,null,182,null,null,27,null,null,null,149,null,655,null,null,1466,42,137,null,1,null
null,null,744,-33.9085373,151.2067671,2017,Zetland South,NSW,Sydney,null,null,213,null,null,17,null,null,null,149,null,584,null,null,1468,18,69,null,1,null
null,null,512,-33.8967591,151.2040753,2017,Waterloo,NSW,Sydney,null,null,110,null,null,9,null,null,null,149,null,157,null,null,1471,23,83,null,1,null
null,null,609,-33.9038,151.203,2017,Zetland,NSW,Sydney,null,null,299,null,null,15,null,null,null,149,null,446,null,null,1472,17,77,null,1,null
null,null,377,-32.9353,151.739,2303,Beaumont Park,NSW,Newcastle,null,null,61,null,null,15,null,null,null,136,null,130,null,null,1861,29,78,null,1,null
null,null,565,-32.8894708,151.6945624,2307,Birmingham Gardens North,NSW,Newcastle,null,null,131,null,null,26,null,null,null,136,null,225,null,null,1863,55,92,null,1,null
null,null,337,-32.917469,151.734085,2292,Hamilton North,NSW,Newcastle,null,null,141,null,null,10,null,null,null,136,null,158,null,null,1864,14,55,null,1,null
null,null,637,-32.9122,151.765,2294,Carrington,NSW,Newcastle,null,null,321,null,null,15,null,null,null,136,null,320,null,null,1865,35,95,null,1,null
null,null,367,-32.929263,151.768023,2300,Cooks Hill,NSW,Newcastle,null,null,298,null,null,7,null,null,null,136,null,226,null,null,1866,15,55,null,1,null
null,null,677,-32.9338,151.768,2300,Cooks Hill South,NSW,Newcastle,null,null,416,null,null,23,null,null,null,136,null,528,null,null,1867,25,73,null,1,null
null,null,741,-32.9392328,151.7581201,2291,The Junction,NSW,Newcastle,null,null,436,null,null,15,null,null,null,136,null,717,null,null,1868,29,94,null,1,null
null,null,850,-32.9149,151.666,2287,Elermore Vale (Newcastle),NSW,Newcastle,null,null,170,null,null,49,null,null,null,136,null,463,null,null,1869,79,138,null,1,null
null,null,314,-32.9079407,151.7303967,2298,Georgetown,NSW,Newcastle,null,null,115,null,null,8,null,null,null,136,null,159,null,null,1871,14,29,null,1,null
null,null,904,-32.924,151.744,2303,Hamilton,NSW,Newcastle,null,null,503,null,null,28,null,null,null,136,null,494,null,null,1872,49,112,null,1,null
null,null,714,-32.9341,151.754,2291,Hamilton South,NSW,Newcastle,null,null,298,null,null,19,null,null,null,136,null,748,null,null,1875,39,97,null,1,null
null,null,524,-32.9115,151.744,2296,Islington,NSW,Newcastle,null,null,434,null,null,21,null,null,null,136,null,194,null,null,1877,21,71,null,1,null
null,null,850,-32.9015303,151.6959716,2299,Jesmond North,NSW,Newcastle,null,null,296,null,null,43,null,null,null,136,null,251,null,null,1879,64,137,null,1,null
null,null,765,-32.9147,151.709,2299,Lambton,NSW,Newcastle,null,null,224,null,null,47,null,null,null,136,null,546,null,null,1880,52,75,null,1,null
null,null,687,-32.9175,151.722,2299,Lambton East,NSW,Newcastle,null,null,225,null,null,23,null,null,null,136,null,366,null,null,1881,35,104,null,1,null
null,null,765,-32.924906,151.7157519,2305,New Lambton,NSW,Newcastle,null,null,283,null,null,19,null,null,null,136,null,582,null,null,1882,54,116,null,1,null
null,null,1007,-32.882,151.659,2287,Maryland,NSW,Newcastle,null,null,150,null,null,53,null,null,null,136,null,439,null,null,1883,114,166,null,1,null
null,null,765,-32.8980225,151.7414935,2304,Mayfield,NSW,Newcastle,null,null,197,null,null,30,null,null,null,136,null,272,null,null,1885,42,96,null,1,null
null,null,675,-32.8959,151.748,2304,Mayfield East,NSW,Newcastle,null,null,309,null,null,22,null,null,null,136,null,262,null,null,1886,48,77,null,1,null
null,null,818,-32.9,151.734,2304,Mayfield South,NSW,Newcastle,null,null,320,null,null,34,null,null,null,136,null,302,null,null,1887,41,105,null,1,null
null,null,695,-32.8886207,151.7296696,2304,Mayfield West,NSW,Newcastle,null,null,226,null,null,36,null,null,null,136,null,297,null,null,1888,59,94,null,1,null
null,null,474,-32.9304,151.777,2300,Newcastle City,NSW,Newcastle,null,null,383,null,null,16,null,null,null,136,null,390,null,null,1889,27,44,null,1,null
null,null,370,-32.8996541,151.6636379,2287,Pittown,NSW,Newcastle,null,null,75,null,null,30,null,null,null,136,null,186,null,null,1891,41,45,null,1,null
null,null,937,-32.8921027,151.6680192,2287,Plattsburg,NSW,Newcastle,null,null,164,null,null,54,null,null,null,136,null,412,null,null,1892,84,140,null,1,null
null,null,722,-32.8817314,151.6953455,2307,Shortland,NSW,Newcastle,null,null,164,null,null,42,null,null,null,136,null,256,null,null,1894,68,118,null,1,null
null,null,835,-32.9111818,151.7806369,2295,Stockton,NSW,Newcastle,null,null,172,null,null,37,null,null,null,136,null,430,null,null,1895,56,104,null,1,null
null,null,640,-32.9078104,151.7508547,2297,Tighes Hill,NSW,Newcastle,null,null,486,null,null,14,null,null,null,136,null,220,null,null,1898,31,74,null,1,null
null,null,1078,-32.9206289,151.6753603,2287,Wallsend South,NSW,Newcastle,null,null,260,null,null,42,null,null,null,136,null,701,null,null,1901,74,125,null,1,null
null,null,906,-32.9058,151.722,2298,Waratah,NSW,Newcastle,null,null,333,null,null,40,null,null,null,136,null,339,null,null,1902,60,133,null,1,null
null,null,576,-32.8993,151.716,2298,Waratah West,NSW,Newcastle,null,null,169,null,null,27,null,null,null,136,null,195,null,null,1905,36,70,null,1,null
null,null,441,-32.9066147,151.6836811,2287,Silver Ridge,NSW,Newcastle,null,null,92,null,null,32,null,null,null,136,null,285,null,null,1906,35,50,null,1,null
null,null,332,-33.8069303,151.1861229,2064,Artarmon,NSW,North Sydney,null,null,195,null,null,17,null,null,null,137,null,610,null,null,2008,8,50,null,1,null
null,null,612,-33.8109871,151.1857357,2064,Artarmon Central,NSW,North Sydney,null,null,260,null,null,37,null,null,null,137,null,813,null,null,2009,24,143,null,1,null
null,null,591,-33.820861,151.211348,2062,Cammeray,NSW,North Sydney,null,null,345,null,null,23,null,null,null,137,null,1190,null,null,2010,20,62,null,1,null
null,null,229,-33.8033981,151.2131419,2068,Castlecrag,NSW,North Sydney,null,null,166,null,null,17,null,null,null,137,null,671,null,null,2012,8,45,null,1,null
null,null,440,-33.8285,151.225,2090,Cremorne (North Sydney),NSW,North Sydney,null,null,252,null,null,24,null,null,null,137,null,914,null,null,2017,24,54,null,1,null
null,null,536,-33.8302599,151.2035121,2065,Crows Nest,NSW,North Sydney,null,null,327,null,null,25,null,null,null,137,null,752,null,null,2019,24,74,null,1,null
null,null,301,-33.8291235,151.2087245,2065,Crows Nest East,NSW,North Sydney,null,null,170,null,null,20,null,null,null,137,null,574,null,null,2020,16,36,null,1,null
null,null,636,-33.8485905,151.2143013,2061,Kirribilli,NSW,North Sydney,null,null,325,null,null,25,null,null,null,137,null,1124,null,null,2023,27,118,null,1,null
null,null,466,-33.843099,151.205217,2060,McMahons Point,NSW,North Sydney,null,null,241,null,null,4,null,null,null,137,null,685,null,null,2024,20,46,null,1,null
