NEUTRAL_HASHTAGS,LABOR_HASHTAGS,LIBERAL_HASHTAGS
#Morrison,#ScottyFromCoverUps,#NewsPoll
#ScottyMustGo,#March4Justice,#ScoMo
#Labor,#ScottyDoesNothing,#BlamingLabor
#liberal,#EnoughIsEnough,#climatechange
#AlboForPM,#AlboForPM,#Morrison
#auspol,#ShameonLiberals,#BlamingLabor
#climatechange,#NotMyPM,#SelfishAlbo
#ScottyDoesNothing,#scottyfromarketing,
#ScottyFromPhotoOps,#Albo2022,
#ScottyFromMarketing,#Labor,
#AFPraids,#ScottyFromPhotoOps,
#COVID19,#AFPraids,
#BlamingLabor,,
#SelfishAlbo,,
#LNPfail,,
#policyfail,,
#ShameonLiberals,,
#AusVotes2019,,
#scottyfromarketing,,
#EnoughIsEnough,,
#ScottyFromCoverUps,,
#SelfishAlbo,,
#ausvotes,,
#NewsPoll,,
#ScoMo,,
#NotMyPM,,
#auspoll,,
#onyourside,,
#Albo2022,,
#March4Justice,,
#LeadershipFail,,
